filename,id2,date,NDVI,blue,green,narrow_nir,nir,rdg_1,rdg_2,rdg_3,red,swir1,swir2
2_20190507T042709_20190507T043011_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,5/7/2019,0.58339231,598,986,3907,3356,1415,3025,3576,883,2496,1531
2_20190507T042709_20190507T043011_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,5/7/2019,0.522037694,878.8823529,1120.588235,3465,3037.521008,1458,2748,3203,954.1008403,2382,1533
2_20190527T042709_20190527T044047_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,5/27/2019,0.215503874,1125.378151,1407.058824,2469,2284.991597,1854,2193,2361,1474.773109,2820,2357
2_20190527T042709_20190527T044047_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,5/27/2019,0.208993357,1184,1478,2397,2366,1830,2123,2301,1548,2812,2329
2_20190611T042711_20190611T042706_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,6/11/2019,0.42935299,988.7394958,1356.336134,3370,2954.344538,1756,2935,3232,1179.378151,2959,2138
2_20190611T042711_20190611T042706_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,6/11/2019,0.425492034,1012,1394,3177,3042,1750,2805,3075,1226,2916,2154
2_20190621T042711_20190621T043605_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,6/21/2019,0.515029058,876.6722689,1308,3751,3215.798319,1759,3293,3706,1029.361345,3104,2137
2_20190621T042711_20190621T043605_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,6/21/2019,0.492329149,904,1360,3803,3210,1732,3328,3701,1092,3054,2056
2_20181223T043201_20181223T043736_T45QYG_00000000000000000001,md_anayet_ali_gong_f,12/23/2018,0.407236996,710.5828877,944.7700535,2228.122995,2058.855615,1195.048128,1946.550802,2103.112299,865.2032086,1773.465241,1240.026738
2_20181228T043209_20181228T043927_T45QYG_00000000000000000001,md_anayet_ali_gong_f,12/28/2018,0.54957696,688.144385,913.7165775,2410.705882,2636.86631,1191.283422,2176.491979,2220.508021,765.1764706,1784.053476,1195.40107
2_20190102T043151_20190102T043514_T45QYG_00000000000000000001,md_anayet_ali_gong_f,1/2/2019,0.531790504,568.7326203,880.8770053,2505.561497,2466.491979,1205.15508,2124.919786,2291.770053,749.9946524,1808.620321,1224.84492
